Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist
2025-07-11,1482.3980712890625,1502.0285923917668,1477.540121836759,1499.0542783474266,7234991,1476.6279357910157,1439.385556640625,1481.5502274280316,1553.3943373968127,1399.8615341852187,53.94136715001131,24.271314593603847,26.197018601849173,-1.9257040082453258
2025-07-14,1470.9964599609375,1487.1569471972039,1466.4358695278945,1479.4236826617216,10311846,1478.9032775878907,1440.424580078125,1480.54510671688,1551.8923538540246,1405.9142013217568,50.43278946391969,20.522178747316048,25.06205063094255,-4.539871883626503
2025-07-15,1472.6820068359375,1483.6869442622558,1469.7076928815193,1473.4750846086956,8132454,1481.5900756835938,1441.70353515625,1479.796240061552,1549.0314837634696,1414.148667603718,50.94081872789023,17.485410199685475,23.546722544691136,-6.0613123450056605
2025-07-16,1472.8802490234375,1478.234038357326,1458.9009976142222,1460.388154594461,10409983,1484.3413146972657,1443.281904296875,1479.1375742483983,1544.9817673675936,1423.7008620269378,51.00442369770165,14.922725840291605,21.82192320381123,-6.899197363519626
2025-07-17,1463.7591552734375,1476.8460890701654,1461.2805601585153,1474.6649737790947,11854613,1486.4778625488282,1444.6580224609374,1477.6729629174497,1540.3603549933264,1432.59537010433,47.92567317797588,12.017256532045621,19.86098986945811,-7.843733337412488
2025-07-18,1463.362548828125,1472.0872520008465,1456.5216021387357,1472.0872520008465,10296318,1486.963671875,1446.6171044921875,1476.3100663375142,1539.7641390145739,1434.1632047354262,47.79058835374253,9.572304776020701,17.80325285077063,-8.230948074749929
2025-07-21,1416.3682861328125,1463.362470991638,1410.9153771961905,1452.4566531183941,22442744,1485.565740966797,1446.4604565429688,1470.6013253656379,1544.2696449710036,1426.8618369625904,35.148584123689034,3.7988281165346507,15.002367903923433,-11.203539787388783
2025-07-22,1400.70361328125,1419.640054314783,1398.6214967228645,1415.178583447059,20396320,1483.6820068359375,1446.4029541015625,1463.94440040522,1550.6040530783894,1416.7599605934856,32.10037452682785,-2.017446053461299,11.598405112446487,-13.615851165907786
2025-07-23,1412.402587890625,1413.7906253323065,1402.2899684336514,1413.7906253323065,8354596,1481.565283203125,1446.4069213867188,1459.035656356211,1554.7291174798115,1408.4014489264387,36.5276135580625,-5.618113641702166,8.155101361616758,-13.773215003318924
2025-07-24,1390.888427734375,1410.81630780687,1384.0474811654185,1407.0487949065318,14740507,1476.9848388671876,1445.38970703125,1452.5454441065122,1560.6235488650082,1393.346128869367,32.350230904981174,-10.09135471456375,4.505810146380657,-14.597164860944407
